Date,RU10INTR Index
12/31/1985,0.00209
1/2/1986,-0.00706
1/3/1986,0.00588
1/6/1986,0.00029
1/7/1986,0.01442
1/8/1986,-0.02292
1/9/1986,-0.01056
1/10/1986,-0.0001
1/13/1986,0.00311
1/14/1986,-0.00013
1/15/1986,0.00813
1/16/1986,0.00486
1/17/1986,-0.00222
1/20/1986,-0.00384
1/21/1986,-0.00714
1/22/1986,-0.00987
1/23/1986,0.00294
1/24/1986,0.01026
1/27/1986,0.00505
1/28/1986,0.01076
1/29/1986,0.00317
1/30/1986,-0.00364
1/31/1986,0.01017
2/3/1986,0.01038
2/4/1986,-0.00236
2/5/1986,0.0006
2/6/1986,0.00261
2/7/1986,0.00499
2/10/1986,0.00731
2/11/1986,0.00025
2/12/1986,0.00127
2/13/1986,0.0061
2/14/1986,0.00929
2/18/1986,0.01238
2/19/1986,-0.00985
2/20/1986,0.00891
2/21/1986,0.01058
2/24/1986,-0.00087
2/25/1986,-0.00188
2/26/1986,0.00123
2/27/1986,0.01222
2/28/1986,0.00154
3/3/1986,-0.00433
3/4/1986,-0.00284
3/5/1986,-0.00142
3/6/1986,0.00395
3/7/1986,0.00136
3/10/1986,0.00464
3/11/1986,0.02037
3/12/1986,0.00464
3/13/1986,0.00256
3/14/1986,0.01148
3/17/1986,-0.00725
3/18/1986,0.00508
3/19/1986,-0.00156
3/20/1986,0.00421
3/21/1986,-0.00976
3/24/1986,0.00526
3/25/1986,-0.00202
3/26/1986,0.01077
3/27/1986,0.00738
3/31/1986,0.00059
4/1/1986,-0.01242
4/2/1986,0.00167
4/3/1986,-0.01108
4/4/1986,-0.01546
4/7/1986,-0.00253
4/8/1986,0.0204
4/9/1986,0.0024
4/10/1986,0.0107
4/11/1986,-0.00115
4/14/1986,0.00541
4/15/1986,0.00174
4/16/1986,0.01744
4/17/1986,0.00404
4/18/1986,-0.00118
4/21/1986,0.00864
4/22/1986,-0.00838
4/23/1986,-0.00436
4/24/1986,0.00157
4/25/1986,0
4/28/1986,0.00239
4/29/1986,-0.01001
4/30/1986,-0.01957
5/1/1986,-0.00045
5/2/1986,-0.00076
5/5/1986,0.01223
5/6/1986,-0.0014
5/7/1986,-0.00406
5/8/1986,0.00523
5/9/1986,0.00291
5/12/1986,-0.00131
5/13/1986,-0.00385
