Date,R3000
12/31/1985,0.00243
1/2/1986,-0.00616
1/3/1986,0.00585
1/6/1986,0.00019
1/7/1986,0.01392
1/8/1986,-0.0217
1/9/1986,-0.01131
1/10/1986,0.00006
1/13/1986,0.00311
1/14/1986,0.00026
1/15/1986,0.00802
1/16/1986,0.00475
1/17/1986,-0.00173
1/20/1986,-0.00373
1/21/1986,-0.00688
1/22/1986,-0.00935
1/23/1986,0.00271
1/24/1986,0.00996
1/27/1986,0.00471
1/28/1986,0.01023
1/29/1986,0.00251
1/30/1986,-0.00313
1/31/1986,0.00969
2/3/1986,0.00979
2/4/1986,-0.00225
2/5/1986,0.00059
2/6/1986,0.0029
2/7/1986,0.00519
2/10/1986,0.00706
2/11/1986,0.00046
2/12/1986,0.00149
2/13/1986,0.00591
2/14/1986,0.00898
2/18/1986,0.01185
2/19/1986,-0.00912
2/20/1986,0.00849
2/21/1986,0.01048
2/24/1986,-0.00093
2/25/1986,-0.00175
2/26/1986,0.00132
2/27/1986,0.01185
2/28/1986,0.00191
3/3/1986,-0.00372
3/4/1986,-0.00214
3/5/1986,-0.00171
3/6/1986,0.00425
3/7/1986,0.00145
3/10/1986,0.00451
3/11/1986,0.01937
3/12/1986,0.0048
3/13/1986,0.00244
3/14/1986,0.01068
3/17/1986,-0.00727
3/18/1986,0.00517
3/19/1986,-0.00136
3/20/1986,0.00415
3/21/1986,-0.00826
3/24/1986,0.00402
3/25/1986,-0.00212
3/26/1986,0.01027
3/27/1986,0.00735
3/31/1986,0.00071
4/1/1986,-0.01181
4/2/1986,0.00139
4/3/1986,-0.0103
4/4/1986,-0.01468
4/7/1986,-0.00295
4/8/1986,0.01962
4/9/1986,0.0024
4/10/1986,0.01036
4/11/1986,-0.00072
4/14/1986,0.00549
4/15/1986,0.00167
4/16/1986,0.01704
4/17/1986,0.00428
4/18/1986,-0.00089
4/21/1986,0.00824
4/22/1986,-0.00783
4/23/1986,-0.00427
4/24/1986,0.00199
4/25/1986,0.00019
4/28/1986,0.00202
4/29/1986,-0.00963
4/30/1986,-0.01902
5/1/1986,-0.0008
5/2/1986,-0.00044
5/5/1986,0.0117
5/6/1986,-0.00115
5/7/1986,-0.00389
5/8/1986,0.00525
5/9/1986,0.00312
5/12/1986,-0.00142
5/13/1986,-0.00379
5/14/1986,0.00422
5/15/1986,-0.01083
5/16/1986,-0.00554
5/19/1986,0.00105
5/20/1986,0.0105
5/21/1986,-0.00156
5/22/1986,0.0165
5/23/1986,0.00567
5/27/1986,0.01321
5/28/1986,0.00747
5/29/1986,0.00347
5/30/1986,-0.00144
6/2/1986,-0.00751
6/3/1986,0.00124
6/4/1986,-0.00486
6/5/1986,0.00465
6/6/1986,0.00026
6/9/1986,-0.02
6/10/1986,-0.00189
6/11/1986,0.00637
6/12/1986,0.00185
6/13/1986,0.01487
6/16/1986,0.0005
6/17/1986,-0.00554
6/18/1986,0.00088
6/19/1986,-0.00156
6/20/1986,0.00807
6/23/1986,-0.00516
6/24/1986,0.00792
6/25/1986,0.0072
6/26/1986,-0.00018
6/27/1986,0.00313
6/30/1986,0.0053
7/1/1986,0.00494
7/2/1986,0.00373
7/3/1986,-0.0021
7/7/1986,-0.02911
7/8/1986,-0.01466
7/9/1986,0.00658
7/10/1986,0.00037
7/11/1986,-0.00107
7/14/1986,-0.0164
7/15/1986,-0.01691
7/16/1986,0.00406
7/17/1986,0.00459
7/18/1986,0.00101
7/21/1986,-0.00129
7/22/1986,0.00786
7/23/1986,0.00147
7/24/1986,-0.00266
7/25/1986,0.008
7/28/1986,-0.01614
7/29/1986,-0.00658
7/30/1986,0.00547
7/31/1986,-0.00121
8/1/1986,-0.00418
8/4/1986,0.00177
8/5/1986,0.00311
8/6/1986,-0.00132
8/7/1986,0.00253
8/8/1986,0.00044
8/11/1986,0.01539
8/12/1986,0.01132
8/13/1986,0.00959
8/14/1986,0.00378
8/15/1986,0.00261
8/18/1986,0.001
8/19/1986,-0.00247
8/20/1986,0.01145
8/21/1986,-0.00021
8/22/1986,0.00159
8/25/1986,-0.0079
8/26/1986,0.01601
8/27/1986,0.00206
8/28/1986,-0.0008
8/29/1986,0.00059
9/2/1986,-0.01426
9/3/1986,0.00295
9/4/1986,0.01315
9/5/1986,-0.01228
9/8/1986,-0.01082
9/9/1986,-0.00268
9/10/1986,-0.00417
9/11/1986,-0.04447
9/12/1986,-0.01849
9/15/1986,0.00308
9/16/1986,-0.00135
9/17/1986,0.00321
9/18/1986,0.00132
9/19/1986,-0.00087
9/22/1986,0.01095
9/23/1986,0.00503
9/24/1986,0.00429
9/25/1986,-0.01536
9/26/1986,0.00064
9/29/1986,-0.00967
9/30/1986,0.00688
10/1/1986,0.00852
10/2/1986,0.00131
10/3/1986,-0.00072
10/6/1986,0.00383
10/7/1986,-0.00158
10/8/1986,0.00817
10/9/1986,-0.00245
10/10/1986,-0.00099
10/13/1986,0.00138
10/14/1986,-0.00179
10/15/1986,0.01285
10/16/1986,0.00297
