Date,SPTR Index
1/5/1988,0.01076
1/6/1988,0.001
1/7/1988,0.00842
1/8/1988,-0.06763
1/11/1988,0.01692
1/12/1988,-0.00834
1/13/1988,0.00172
1/14/1988,0.00028
1/15/1988,0.02517
1/18/1988,-0.00067
1/19/1988,-0.01011
1/20/1988,-0.02683
1/21/1988,0.0021
1/22/1988,0.01384
1/25/1988,0.02333
1/26/1988,-0.01013
1/27/1988,-0.00076
1/28/1988,0.01568
1/29/1988,0.01498
2/1/1988,-0.00764
2/2/1988,0.0025
2/3/1988,-0.0131
2/4/1988,0.0007
2/5/1988,-0.00415
2/8/1988,-0.00719
2/9/1988,0.01066
2/10/1988,0.01973
2/11/1988,-0.00272
2/12/1988,0.00706
2/16/1988,0.00878
2/17/1988,-0.00233
2/18/1988,-0.005
2/19/1988,0.01439
2/22/1988,0.01564
2/23/1988,-0.00223
2/24/1988,-0.00195
2/25/1988,-0.01076
2/26/1988,0.00341
2/29/1988,0.02077
3/1/1988,-0.00014
3/2/1988,0.00117
3/3/1988,-0.00037
3/4/1988,-0.00206
3/7/1988,0.00046
3/8/1988,0.00785
3/9/1988,-0.00113
3/10/1988,-0.01936
3/11/1988,0.00418
3/14/1988,0.00547
3/15/1988,-0.00084
3/16/1988,0.01022
3/17/1988,0.00886
3/18/1988,-0.00034
3/21/1988,-0.00873
3/22/1988,0.00038
3/23/1988,0.0003
3/24/1988,-0.02067
3/25/1988,-0.01755
3/28/1988,-0.0017
3/29/1988,0.0079
3/30/1988,-0.00768
3/31/1988,0.0032
4/4/1988,-0.01049
4/5/1988,0.0096
4/6/1988,0.027
4/7/1988,0.00252
4/8/1988,0.01229
4/11/1988,0.00281
4/12/1988,0.00448
4/13/1988,0.00074
4/14/1988,-0.0434
4/15/1988,0.00008
4/18/1988,-0.00209
4/19/1988,-0.00493
4/20/1988,-0.00694
4/21/1988,0.00113
4/22/1988,0.01452
4/25/1988,0.00915
4/26/1988,0.00594
4/27/1988,-0.00036
4/28/1988,-0.0045
4/29/1988,-0.00482
5/2/1988,0.00112
5/3/1988,0.0059
5/4/1988,-0.01
5/5/1988,-0.00528
5/6/1988,-0.00478
5/9/1988,-0.00274
5/10/1988,0.00435
5/11/1988,-0.01669
5/12/1988,0.00219
5/13/1988,0.01161
5/16/1988,0.00802
5/17/1988,-0.01234
5/18/1988,-0.01555
5/19/1988,0.005
5/20/1988,0.0018
5/23/1988,-0.00847
5/24/1988,0.01079
5/25/1988,0.00122
5/26/1988,0.00344
5/27/1988,-0.00437
5/31/1988,0.03466
6/1/1988,0.01739
6/2/1988,-0.00506
6/3/1988,0.0043
6/6/1988,0.00248
6/7/1988,-0.00682
6/8/1988,0.02395
6/9/1988,-0.00448
6/10/1988,0.00397
6/13/1988,0.0007
6/14/1988,0.01066
6/15/1988,0.00057
6/16/1988,-0.01701
6/17/1988,0.00343
6/20/1988,-0.0063
6/21/1988,0.01016
6/22/1988,0.01469
6/23/1988,-0.00305
6/24/1988,-0.00309
6/27/1988,-0.01711
6/28/1988,0.01222
6/29/1988,-0.00486
6/30/1988,0.00932
7/1/1988,-0.00606
7/5/1988,0.01516
7/6/1988,-0.01374
7/7/1988,-0.00088
7/8/1988,-0.00647
7/11/1988,0.00207
7/12/1988,-0.00997
7/13/1988,0.0055
7/14/1988,0.00361
7/15/1988,0.00662
7/18/1988,-0.00558
7/19/1988,-0.0075
7/20/1988,0.0057
7/21/1988,-0.01237
7/22/1988,-0.01184
7/25/1988,0.00474
7/26/1988,0.00211
7/27/1988,-0.00995
7/28/1988,0.01341
7/29/1988,0.02261
8/1/1988,0.00097
8/2/1988,-0.00018
8/3/1988,0.00351
8/4/1988,-0.00315
8/5/1988,-0.00265
8/8/1988,-0.004
8/9/1988,-0.0123
8/10/1988,-0.01714
8/11/1988,0.00336
8/12/1988,-0.00072
8/15/1988,-0.01426
8/16/1988,0.00738
8/17/1988,0.00085
8/18/1988,0.00108
8/19/1988,-0.00297
8/22/1988,-0.01225
8/23/1988,0.00045
8/24/1988,0.01573
8/25/1988,-0.00743
8/26/1988,0.00221
8/29/1988,0.01059
8/30/1988,0.00081
8/31/1988,-0.00377
9/1/1988,-0.01201
9/2/1988,0.02394
9/6/1988,0.00437
9/7/1988,0.00105
9/8/1988,0.00009
9/9/1988,0.004
9/12/1988,-0.00133
9/13/1988,0.00367
9/14/1988,0.00709
9/15/1988,-0.00434
9/16/1988,0.00943
9/19/1988,-0.00671
9/20/1988,0.00378
9/21/1988,0.00177
9/22/1988,-0.00363
9/23/1988,0.00216
9/26/1988,-0.00251
9/27/1988,-0.00225
9/28/1988,0.00309
9/29/1988,0.01313
9/30/1988,-0.00247
10/3/1988,-0.00144
10/4/1988,-0.00264
10/5/1988,0.00458
10/6/1988,0.00196
10/7/1988,0.02094
10/10/1988,0.00061
10/11/1988,-0.00108
10/12/1988,-0.0142
10/13/1988,0.00453
10/14/1988,0.00113
10/17/1988,0.00337
10/18/1988,0.01079
10/19/1988,-0.00862
10/20/1988,0.02134
10/21/1988,0.00277
10/24/1988,-0.00472
10/25/1988,0.00045
10/26/1988,-0.00331
10/27/1988,-0.01457
10/28/1988,0.00456
10/31/1988,0.00183
11/1/1988,0.00082
11/2/1988,0
11/3/1988,0.00072
11/4/1988,-0.00955
11/7/1988,-0.00813
11/8/1988,0.00468
11/9/1988,-0.00644
11/10/1988,0.00156
11/11/1988,-0.02108
11/14/1988,-0.00029
11/15/1988,0.0024
11/16/1988,-0.01663
11/17/1988,0.00301
11/18/1988,0.00733
11/21/1988,-0.00086
11/22/1988,0.00372
11/23/1988,0.00681
11/25/1988,-0.00624
11/28/1988,0.00554
11/29/1988,0.00863
11/30/1988,0.0103
12/1/1988,-0.00432
12/2/1988,-0.00229
12/5/1988,0.01171
12/6/1988,0.00981
12/7/1988,0.00198
12/8/1988,-0.0056
12/9/1988,0.00201
12/12/1988,-0.00172
12/13/1988,-0.00067
12/14/1988,-0.00358
12/15/1988,-0.00372
12/16/1988,0.00739
12/19/1988,0.00952
12/20/1988,-0.00512
12/21/1988,-0.00031
12/22/1988,-0.00183
12/23/1988,0.00447
12/27/1988,-0.00371
12/28/1988,0.00092
12/29/1988,0.0085
12/30/1988,-0.00584
1/3/1989,-0.00856
1/4/1989,0.0152
1/5/1989,0.00211
1/6/1989,0.00236
1/9/1989,0.00122
1/10/1989,-0.0021
1/11/1989,0.00581
1/12/1989,0.00411
1/13/1989,0.00268
1/16/1989,0.00095
1/17/1989,-0.00205
1/18/1989,0.01051
1/19/1989,0.00131
1/20/1989,-0.00093
1/23/1989,-0.00724
1/24/1989,0.01423
1/25/1989,0.00235
1/26/1989,0.0089
1/27/1989,0.00732
1/30/1989,0.00415
1/31/1989,0.00884
2/1/1989,-0.00116
2/2/1989,-0.0003
2/3/1989,0.00048
2/6/1989,-0.00241
2/7/1989,0.01223
2/8/1989,-0.00326
2/9/1989,-0.00843
2/10/1989,-0.01332
2/13/1989,0.00225
2/14/1989,-0.00223
2/15/1989,0.00842
2/16/1989,0.00195
2/17/1989,0.00695
2/21/1989,-0.0026
2/22/1989,-0.01708
2/23/1989,0.00419
2/24/1989,-0.01682
2/27/1989,0.00272
2/28/1989,0.00376
3/1/1989,-0.00575
3/2/1989,0.01001
3/3/1989,0.00426
3/6/1989,0.01273
3/7/1989,-0.0031
3/8/1989,0.00074
3/9/1989,-0.00009
3/10/1989,-0.00352
3/13/1989,0.00845
3/14/1989,-0.00055
3/15/1989,0.00523
3/16/1989,0.00936
3/17/1989,-0.02248
